section;hauteur_mm;masse_kg;contrainte_mpa;fleche_mm;fleche_admissible_mm;facteur_securite;facteur_securite_minimal;admissible;critere_dimensionnant;difference_masse_kg;reduction_masse_pourcentage
initiale;100;13.9;12;1.0943912;4;26.666667;2;oui;;;
optimisee;65;9.035;28.402367;3.9850387;4;11.266667;2;oui;rigidité;4.865;35
